GivenName,sn,department,l,st,ObjectClass,UserAccountControl,DN,sAMAccountName,displayname,cn,mail,userprincipalname
Roger,Blair,Projects,Greenville,SC,user,512,"CN=Roger Blair,CN=Users,DC=ABSCorp,DC=com",RBlair,Roger Blair,Roger Blair,RBlair@abscorp.com,RBlair@abscorp.com
Sarah,Blake,Projects,Greenville,SC,user,512,"CN=Sarah Blake,CN=Users,DC=ABSCorp,DC=com",SBlake,Sarah Blake,Sarah Blake,SBlake@abscorp.com,SBlake@abscorp.com
Dennis,Bowen,Management,Greenville,SC,user,512,"CN=Dennis Bowen,CN=Users,DC=ABSCorp,DC=com",DBowen,Dennis Bowen,Dennis Bowen,DBowen@abscorp.com,DBowen@abscorp.com
Steven,Bradford,Projects,Greenville,SC,user,512,"CN=Steven Bradford,CN=Users,DC=ABSCorp,DC=com",SBradford,Steven Bradford,Steven Bradford,SBradford@abscorp.com,SBradford@abscorp.com
Joseph,Brooks,Projects,Greenville,SC,user,512,"CN=Joseph Brooks,CN=Users,DC=ABSCorp,DC=com",JBrooks,Joseph Brooks,Joseph Brooks,JBrooks@abscorp.com,JBrooks@abscorp.com
Anna,Brown,Projects,Greenville,SC,user,512,"CN=Anna Brown,CN=Users,DC=ABSCorp,DC=com",ABrown,Anna Brown,Anna Brown,ABrown@abscorp.com,ABrown@abscorp.com
Deborah,Brown,Projects,Greenville,SC,user,512,"CN=Deborah Brown,CN=Users,DC=ABSCorp,DC=com",DBrown,Deborah Brown,Deborah Brown,DBrown@abscorp.com,DBrown@abscorp.com
Mary,Brown,Sales,Greenville,SC,user,512,"CN=Mary Brown,CN=Users,DC=ABSCorp,DC=com",MBrown,Mary Brown,Mary Brown,MBrown@abscorp.com,MBrown@abscorp.com
Linda,Bruce,Projects,Greenville,SC,user,512,"CN=Linda Bruce,CN=Users,DC=ABSCorp,DC=com",LBruce,Linda Bruce,Linda Bruce,LBruce@abscorp.com,LBruce@abscorp.com
John,Burke,Projects,Greenville,SC,user,512,"CN=John Burke,CN=Users,DC=ABSCorp,DC=com",JBurke,John Burke,John Burke,JBurke@abscorp.com,JBurke@abscorp.com
Richard,Caldwell,IT,Greenville,SC,user,512,"CN=Richard Caldwell,CN=Users,DC=ABSCorp,DC=com",RCaldwell,Richard Caldwell,Richard Caldwell,RCaldwell@abscorp.com,RCaldwell@abscorp.com
Lynn,Campbell,Management,Greenville,SC,user,512,"CN=Lynn Campbell,CN=Users,DC=ABSCorp,DC=com",LCampbell,Lynn Campbell,Lynn Campbell,LCampbell@abscorp.com,LCampbell@abscorp.com
Suzanne,Campbell,Projects,Greenville,SC,user,512,"CN=Suzanne Campbell,CN=Users,DC=ABSCorp,DC=com",SCampbell,Suzanne Campbell,Suzanne Campbell,SCampbell@abscorp.com,SCampbell@abscorp.com
Rick,Carlson,Projects,Greenville,SC,user,512,"CN=Rick Carlson,CN=Users,DC=ABSCorp,DC=com",RCarlson,Rick Carlson,Rick Carlson,RCarlson@abscorp.com,RCarlson@abscorp.com
Matthew,Carr,Projects,Greenville,SC,user,512,"CN=Matthew Carr,CN=Users,DC=ABSCorp,DC=com",MCarr,Matthew Carr,Matthew Carr,MCarr@abscorp.com,MCarr@abscorp.com
Brian,Carter,Projects,Greenville,SC,user,512,"CN=Brian Carter,CN=Users,DC=ABSCorp,DC=com",BCarter,Brian Carter,Brian Carter,BCarter@abscorp.com,BCarter@abscorp.com
Mike,Chandler,Projects,Greenville,SC,user,512,"CN=Mike Chandler,CN=Users,DC=ABSCorp,DC=com",MChandler,Mike Chandler,Mike Chandler,MChandler@abscorp.com,MChandler@abscorp.com
Donald,Clark,Projects,Greenville,SC,user,512,"CN=Donald Clark,CN=Users,DC=ABSCorp,DC=com",DClark,Donald Clark,Donald Clark,DClark@abscorp.com,DClark@abscorp.com
Jessica,Cole,Projects,Greenville,SC,user,512,"CN=Jessica Cole,CN=Users,DC=ABSCorp,DC=com",JCole,Jessica Cole,Jessica Cole,JCole@abscorp.com,JCole@abscorp.com
Kenneth,Colon,Sales,Greenville,SC,user,512,"CN=Kenneth Colon,CN=Users,DC=ABSCorp,DC=com",KColon,Kenneth Colon,Kenneth Colon,KColon@abscorp.com,KColon@abscorp.com
Charles,Cook,Projects,Greenville,SC,user,512,"CN=Charles Cook,CN=Users,DC=ABSCorp,DC=com",CCook,Charles Cook,Charles Cook,CCook@abscorp.com,CCook@abscorp.com
Mary,Cook,Sales,Greenville,SC,user,512,"CN=Mary Cook,CN=Users,DC=ABSCorp,DC=com",MCook,Mary Cook,Mary Cook,MCook@abscorp.com,MCook@abscorp.com
Maria,Cunningham,Projects,Greenville,SC,user,512,"CN=Maria Cunningham,CN=Users,DC=ABSCorp,DC=com",MCunningham,Maria Cunningham,Maria Cunningham,MCunningham@abscorp.com,MCunningham@abscorp.com
Yvonne,Daniels,Projects,Greenville,SC,user,512,"CN=Yvonne Daniels,CN=Users,DC=ABSCorp,DC=com",YDaniels,Yvonne Daniels,Yvonne Daniels,YDaniels@abscorp.com,YDaniels@abscorp.com
Rebecca,Davis,Management,Greenville,SC,user,512,"CN=Rebecca Davis,CN=Users,DC=ABSCorp,DC=com",RDavis,Rebecca Davis,Rebecca Davis,RDavis@abscorp.com,RDavis@abscorp.com
Brian,Davis,Projects,Greenville,SC,user,512,"CN=Brian Davis,CN=Users,DC=ABSCorp,DC=com",BDavis,Brian Davis,Brian Davis,BDavis@abscorp.com,BDavis@abscorp.com
Joseph,Davis,Projects,Greenville,SC,user,512,"CN=Joseph Davis,CN=Users,DC=ABSCorp,DC=com",JDavis,Joseph Davis,Joseph Davis,JDavis@abscorp.com,JDavis@abscorp.com
Jack,Davis,Sales,Greenville,SC,user,512,"CN=Jack Davis,CN=Users,DC=ABSCorp,DC=com",JDavis,Jack Davis,Jack Davis,JDavis@abscorp.com,JDavis@abscorp.com
Cody,Decker,IT,Greenville,SC,user,512,"CN=Cody Decker,CN=Users,DC=ABSCorp,DC=com",CDecker,Cody Decker,Cody Decker,CDecker@abscorp.com,CDecker@abscorp.com
William,Diaz,Projects,Greenville,SC,user,512,"CN=William Diaz,CN=Users,DC=ABSCorp,DC=com",WDiaz,William Diaz,William Diaz,WDiaz@abscorp.com,WDiaz@abscorp.com
Kelly,Dixon,IT,Greenville,SC,user,512,"CN=Kelly Dixon,CN=Users,DC=ABSCorp,DC=com",KDixon,Kelly Dixon,Kelly Dixon,KDixon@abscorp.com,KDixon@abscorp.com
John,Dodson,Management,Greenville,SC,user,512,"CN=John Dodson,CN=Users,DC=ABSCorp,DC=com",JDodson,John Dodson,John Dodson,JDodson@abscorp.com,JDodson@abscorp.com
Mary,Drake,Projects,Greenville,SC,user,512,"CN=Mary Drake,CN=Users,DC=ABSCorp,DC=com",MDrake,Mary Drake,Mary Drake,MDrake@abscorp.com,MDrake@abscorp.com
Thomas,Duarte,IT,Greenville,SC,user,512,"CN=Thomas Duarte,CN=Users,DC=ABSCorp,DC=com",TDuarte,Thomas Duarte,Thomas Duarte,TDuarte@abscorp.com,TDuarte@abscorp.com
Anna,Duncan,IT,Greenville,SC,user,512,"CN=Anna Duncan,CN=Users,DC=ABSCorp,DC=com",ADuncan,Anna Duncan,Anna Duncan,ADuncan@abscorp.com,ADuncan@abscorp.com
Sarah,Edwards,IT,Greenville,SC,user,512,"CN=Sarah Edwards,CN=Users,DC=ABSCorp,DC=com",SEdwards,Sarah Edwards,Sarah Edwards,SEdwards@abscorp.com,SEdwards@abscorp.com
Michael,Ellison,IT,Greenville,SC,user,512,"CN=Michael Ellison,CN=Users,DC=ABSCorp,DC=com",MEllison,Michael Ellison,Michael Ellison,MEllison@abscorp.com,MEllison@abscorp.com
Maria,Fields,IT,Greenville,SC,user,512,"CN=Maria Fields,CN=Users,DC=ABSCorp,DC=com",MFields,Maria Fields,Maria Fields,MFields@abscorp.com,MFields@abscorp.com
Ben,Fisher,Management,Greenville,SC,user,512,"CN=Ben Fisher,CN=Users,DC=ABSCorp,DC=com",BFisher,Ben Fisher,Ben Fisher,BFisher@abscorp.com,BFisher@abscorp.com
Patricia,Flores,Projects,Greenville,SC,user,512,"CN=Patricia Flores,CN=Users,DC=ABSCorp,DC=com",PFlores,Patricia Flores,Patricia Flores,PFlores@abscorp.com,PFlores@abscorp.com
Julia,Garcia,Projects,Greenville,SC,user,512,"CN=Julia Garcia,CN=Users,DC=ABSCorp,DC=com",JGarcia,Julia Garcia,Julia Garcia,JGarcia@abscorp.com,JGarcia@abscorp.com
Alfredo,Gardner,Projects,Greenville,SC,user,512,"CN=Alfredo Gardner,CN=Users,DC=ABSCorp,DC=com",AGardner,Alfredo Gardner,Alfredo Gardner,AGardner@abscorp.com,AGardner@abscorp.com
Linda,Garrett,Projects,Greenville,SC,user,512,"CN=Linda Garrett,CN=Users,DC=ABSCorp,DC=com",LGarrett,Linda Garrett,Linda Garrett,LGarrett@abscorp.com,LGarrett@abscorp.com
Mary,Gilbert,Projects,Greenville,SC,user,512,"CN=Mary Gilbert,CN=Users,DC=ABSCorp,DC=com",MGilbert,Mary Gilbert,Mary Gilbert,MGilbert@abscorp.com,MGilbert@abscorp.com
Carmen,Gomez,Projects,Greenville,SC,user,512,"CN=Carmen Gomez,CN=Users,DC=ABSCorp,DC=com",CGomez,Carmen Gomez,Carmen Gomez,CGomez@abscorp.com,CGomez@abscorp.com
Troy,Gomez,Projects,Greenville,SC,user,512,"CN=Troy Gomez,CN=Users,DC=ABSCorp,DC=com",TGomez,Troy Gomez,Troy Gomez,TGomez@abscorp.com,TGomez@abscorp.com
Kevin,Gonzalez,Management,Greenville,SC,user,512,"CN=Kevin Gonzalez,CN=Users,DC=ABSCorp,DC=com",KGonzalez,Kevin Gonzalez,Kevin Gonzalez,KGonzalez@abscorp.com,KGonzalez@abscorp.com
Jose,Gonzalez,Projects,Greenville,SC,user,512,"CN=Jose Gonzalez,CN=Users,DC=ABSCorp,DC=com",JGonzalez,Jose Gonzalez,Jose Gonzalez,JGonzalez@abscorp.com,JGonzalez@abscorp.com
Mary,Gonzalez,Projects,Greenville,SC,user,512,"CN=Mary Gonzalez,CN=Users,DC=ABSCorp,DC=com",MGonzalez,Mary Gonzalez,Mary Gonzalez,MGonzalez@abscorp.com,MGonzalez@abscorp.com
Adam,Green,Projects,Greenville,SC,user,512,"CN=Adam Green,CN=Users,DC=ABSCorp,DC=com",AGreen,Adam Green,Adam Green,AGreen@abscorp.com,AGreen@abscorp.com
Steve,Green,Projects,Greenville,SC,user,512,"CN=Steve Green,CN=Users,DC=ABSCorp,DC=com",SGreen,Steve Green,Steve Green,SGreen@abscorp.com,SGreen@abscorp.com
John,Griffin,Projects,Greenville,SC,user,512,"CN=John Griffin,CN=Users,DC=ABSCorp,DC=com",JGriffin,John Griffin,John Griffin,JGriffin@abscorp.com,JGriffin@abscorp.com
Shirley,Griffith,Projects,Greenville,SC,user,512,"CN=Shirley Griffith,CN=Users,DC=ABSCorp,DC=com",SGriffith,Shirley Griffith,Shirley Griffith,SGriffith@abscorp.com,SGriffith@abscorp.com
Richard,Grimes,Projects,Greenville,SC,user,512,"CN=Richard Grimes,CN=Users,DC=ABSCorp,DC=com",RGrimes,Richard Grimes,Richard Grimes,RGrimes@abscorp.com,RGrimes@abscorp.com
Patrick,Hall,Management,Greenville,SC,user,512,"CN=Patrick Hall,CN=Users,DC=ABSCorp,DC=com",PHall,Patrick Hall,Patrick Hall,PHall@abscorp.com,PHall@abscorp.com
Maria,Hampton,Projects,Greenville,SC,user,512,"CN=Maria Hampton,CN=Users,DC=ABSCorp,DC=com",MHampton,Maria Hampton,Maria Hampton,MHampton@abscorp.com,MHampton@abscorp.com
Maria,Hancock,Sales,Greenville,SC,user,512,"CN=Maria Hancock,CN=Users,DC=ABSCorp,DC=com",MHancock,Maria Hancock,Maria Hancock,MHancock@abscorp.com,MHancock@abscorp.com
David,Hansen,Projects,Greenville,SC,user,512,"CN=David Hansen,CN=Users,DC=ABSCorp,DC=com",DHansen,David Hansen,David Hansen,DHansen@abscorp.com,DHansen@abscorp.com
John,Harmon,Management,Greenville,SC,user,512,"CN=John Harmon,CN=Users,DC=ABSCorp,DC=com",JHarmon,John Harmon,John Harmon,JHarmon@abscorp.com,JHarmon@abscorp.com
Maria,Harris,Projects,Greenville,SC,user,512,"CN=Maria Harris,CN=Users,DC=ABSCorp,DC=com",MHarris,Maria Harris,Maria Harris,MHarris@abscorp.com,MHarris@abscorp.com
Brent,Hayes,Projects,Greenville,SC,user,512,"CN=Brent Hayes,CN=Users,DC=ABSCorp,DC=com",BHayes,Brent Hayes,Brent Hayes,BHayes@abscorp.com,BHayes@abscorp.com
Clayton,Henderson,Projects,Greenville,SC,user,512,"CN=Clayton Henderson,CN=Users,DC=ABSCorp,DC=com",CHenderson,Clayton Henderson,Clayton Henderson,CHenderson@abscorp.com,CHenderson@abscorp.com
Lance,Hess,Sales,Greenville,SC,user,512,"CN=Lance Hess,CN=Users,DC=ABSCorp,DC=com",LHess,Lance Hess,Lance Hess,LHess@abscorp.com,LHess@abscorp.com
David,Hicks,IT,Greenville,SC,user,512,"CN=David Hicks,CN=Users,DC=ABSCorp,DC=com",DHicks,David Hicks,David Hicks,DHicks@abscorp.com,DHicks@abscorp.com
Melissa,Hinton,Management,Greenville,SC,user,512,"CN=Melissa Hinton,CN=Users,DC=ABSCorp,DC=com",MHinton,Melissa Hinton,Melissa Hinton,MHinton@abscorp.com,MHinton@abscorp.com
Robert,Hoffman,Projects,Greenville,SC,user,512,"CN=Robert Hoffman,CN=Users,DC=ABSCorp,DC=com",RHoffman,Robert Hoffman,Robert Hoffman,RHoffman@abscorp.com,RHoffman@abscorp.com
Dorothy,Howard,Projects,Greenville,SC,user,512,"CN=Dorothy Howard,CN=Users,DC=ABSCorp,DC=com",DHoward,Dorothy Howard,Dorothy Howard,DHoward@abscorp.com,DHoward@abscorp.com
Kelly,Hunt,Projects,Greenville,SC,user,512,"CN=Kelly Hunt,CN=Users,DC=ABSCorp,DC=com",KHunt,Kelly Hunt,Kelly Hunt,KHunt@abscorp.com,KHunt@abscorp.com
Nancy,Hunter,Management,Greenville,SC,user,512,"CN=Nancy Hunter,CN=Users,DC=ABSCorp,DC=com",NHunter,Nancy Hunter,Nancy Hunter,NHunter@abscorp.com,NHunter@abscorp.com
Paul,Hurley,Projects,Greenville,SC,user,512,"CN=Paul Hurley,CN=Users,DC=ABSCorp,DC=com",PHurley,Paul Hurley,Paul Hurley,PHurley@abscorp.com,PHurley@abscorp.com
Elizabeth,Ingram,Projects,Greenville,SC,user,512,"CN=Elizabeth Ingram,CN=Users,DC=ABSCorp,DC=com",EIngram,Elizabeth Ingram,Elizabeth Ingram,EIngram@abscorp.com,EIngram@abscorp.com
Jon,Ingram,Sales,Greenville,SC,user,512,"CN=Jon Ingram,CN=Users,DC=ABSCorp,DC=com",JIngram,Jon Ingram,Jon Ingram,JIngram@abscorp.com,JIngram@abscorp.com
David,Jackson,Projects,Greenville,SC,user,512,"CN=David Jackson,CN=Users,DC=ABSCorp,DC=com",DJackson,David Jackson,David Jackson,DJackson@abscorp.com,DJackson@abscorp.com
William,Jackson,Projects,Greenville,SC,user,512,"CN=William Jackson,CN=Users,DC=ABSCorp,DC=com",WJackson,William Jackson,William Jackson,WJackson@abscorp.com,WJackson@abscorp.com
Maria,Jefferson,Projects,Greenville,SC,user,512,"CN=Maria Jefferson,CN=Users,DC=ABSCorp,DC=com",MJefferson,Maria Jefferson,Maria Jefferson,MJefferson@abscorp.com,MJefferson@abscorp.com
Allan,Jenkins,IT,Greenville,SC,user,512,"CN=Allan Jenkins,CN=Users,DC=ABSCorp,DC=com",AJenkins,Allan Jenkins,Allan Jenkins,AJenkins@abscorp.com,AJenkins@abscorp.com
Stephanie,Jimenez,Projects,Greenville,SC,user,512,"CN=Stephanie Jimenez,CN=Users,DC=ABSCorp,DC=com",SJimenez,Stephanie Jimenez,Stephanie Jimenez,SJimenez@abscorp.com,SJimenez@abscorp.com
Judy,Johnson,Projects,Greenville,SC,user,512,"CN=Judy Johnson,CN=Users,DC=ABSCorp,DC=com",JJohnson,Judy Johnson,Judy Johnson,JJohnson@abscorp.com,JJohnson@abscorp.com
Lance,Johnson,Projects,Greenville,SC,user,512,"CN=Lance Johnson,CN=Users,DC=ABSCorp,DC=com",LJohnson,Lance Johnson,Lance Johnson,LJohnson@abscorp.com,LJohnson@abscorp.com
Mary,Johnson,Projects,Greenville,SC,user,512,"CN=Mary Johnson,CN=Users,DC=ABSCorp,DC=com",MJohnson,Mary Johnson,Mary Johnson,MJohnson@abscorp.com,MJohnson@abscorp.com
Denise,Jones,Projects,Greenville,SC,user,512,"CN=Denise Jones,CN=Users,DC=ABSCorp,DC=com",DJones,Denise Jones,Denise Jones,DJones@abscorp.com,DJones@abscorp.com
William,Jones,Projects,Greenville,SC,user,512,"CN=William Jones,CN=Users,DC=ABSCorp,DC=com",WJones,William Jones,William Jones,WJones@abscorp.com,WJones@abscorp.com
Marc,Jones,Sales,Greenville,SC,user,512,"CN=Marc Jones,CN=Users,DC=ABSCorp,DC=com",MJones,Marc Jones,Marc Jones,MJones@abscorp.com,MJones@abscorp.com
Ralph,Joseph,Management,Greenville,SC,user,512,"CN=Ralph Joseph,CN=Users,DC=ABSCorp,DC=com",RJoseph,Ralph Joseph,Ralph Joseph,RJoseph@abscorp.com,RJoseph@abscorp.com
Martha,King,Projects,Greenville,SC,user,512,"CN=Martha King,CN=Users,DC=ABSCorp,DC=com",MKing,Martha King,Martha King,MKing@abscorp.com,MKing@abscorp.com
Phyllis,Kirby,Projects,Greenville,SC,user,512,"CN=Phyllis Kirby,CN=Users,DC=ABSCorp,DC=com",PKirby,Phyllis Kirby,Phyllis Kirby,PKirby@abscorp.com,PKirby@abscorp.com
Charles,Klein,Projects,Greenville,SC,user,512,"CN=Charles Klein,CN=Users,DC=ABSCorp,DC=com",CKlein,Charles Klein,Charles Klein,CKlein@abscorp.com,CKlein@abscorp.com
Sandra,Lam,Sales,Greenville,SC,user,512,"CN=Sandra Lam,CN=Users,DC=ABSCorp,DC=com",SLam,Sandra Lam,Sandra Lam,SLam@abscorp.com,SLam@abscorp.com
Andrew,Lane,Management,Greenville,SC,user,512,"CN=Andrew Lane,CN=Users,DC=ABSCorp,DC=com",ALane,Andrew Lane,Andrew Lane,ALane@abscorp.com,ALane@abscorp.com
John,Lang,Projects,Greenville,SC,user,512,"CN=John Lang,CN=Users,DC=ABSCorp,DC=com",JLang,John Lang,John Lang,JLang@abscorp.com,JLang@abscorp.com
Margaret,Lawrence,Projects,Greenville,SC,user,512,"CN=Margaret Lawrence,CN=Users,DC=ABSCorp,DC=com",MLawrence,Margaret Lawrence,Margaret Lawrence,MLawrence@abscorp.com,MLawrence@abscorp.com
Shirley,Lee,IT,Greenville,SC,user,512,"CN=Shirley Lee,CN=Users,DC=ABSCorp,DC=com",SLee,Shirley Lee,Shirley Lee,SLee@abscorp.com,SLee@abscorp.com
Gerald,Lee,Projects,Greenville,SC,user,512,"CN=Gerald Lee,CN=Users,DC=ABSCorp,DC=com",GLee,Gerald Lee,Gerald Lee,GLee@abscorp.com,GLee@abscorp.com
Monica,Lee,Projects,Greenville,SC,user,512,"CN=Monica Lee,CN=Users,DC=ABSCorp,DC=com",MLee,Monica Lee,Monica Lee,MLee@abscorp.com,MLee@abscorp.com
Melvin,Lee,Sales,Greenville,SC,user,512,"CN=Melvin Lee,CN=Users,DC=ABSCorp,DC=com",MLee,Melvin Lee,Melvin Lee,MLee@abscorp.com,MLee@abscorp.com
Cynthia,Lewis,Sales,Greenville,SC,user,512,"CN=Cynthia Lewis,CN=Users,DC=ABSCorp,DC=com",CLewis,Cynthia Lewis,Cynthia Lewis,CLewis@abscorp.com,CLewis@abscorp.com
William,Little,Projects,Greenville,SC,user,512,"CN=William Little,CN=Users,DC=ABSCorp,DC=com",WLittle,William Little,William Little,WLittle@abscorp.com,WLittle@abscorp.com
John,Long,Projects,Greenville,SC,user,512,"CN=John Long,CN=Users,DC=ABSCorp,DC=com",JLong,John Long,John Long,JLong@abscorp.com,JLong@abscorp.com
Diana,Macdonald,Projects,Greenville,SC,user,512,"CN=Diana Macdonald,CN=Users,DC=ABSCorp,DC=com",DMacdonald,Diana Macdonald,Diana Macdonald,DMacdonald@abscorp.com,DMacdonald@abscorp.com
Margaret,Mack,Projects,Greenville,SC,user,512,"CN=Margaret Mack,CN=Users,DC=ABSCorp,DC=com",MMack,Margaret Mack,Margaret Mack,MMack@abscorp.com,MMack@abscorp.com
Margaret,Mann,Projects,Greenville,SC,user,512,"CN=Margaret Mann,CN=Users,DC=ABSCorp,DC=com",MMann,Margaret Mann,Margaret Mann,MMann@abscorp.com,MMann@abscorp.com
Kent,Martin,IT,Greenville,SC,user,512,"CN=Kent Martin,CN=Users,DC=ABSCorp,DC=com",KMartin,Kent Martin,Kent Martin,KMartin@abscorp.com,KMartin@abscorp.com
Linda,Martin,Management,Greenville,SC,user,512,"CN=Linda Martin,CN=Users,DC=ABSCorp,DC=com",LMartin,Linda Martin,Linda Martin,LMartin@abscorp.com,LMartin@abscorp.com
Chris,Martinez,Management,Greenville,SC,user,512,"CN=Chris Martinez,CN=Users,DC=ABSCorp,DC=com",CMartinez,Chris Martinez,Chris Martinez,CMartinez@abscorp.com,CMartinez@abscorp.com
Don,Martinez,Projects,Greenville,SC,user,512,"CN=Don Martinez,CN=Users,DC=ABSCorp,DC=com",DMartinez,Don Martinez,Don Martinez,DMartinez@abscorp.com,DMartinez@abscorp.com
Jennifer,Martinez,Projects,Greenville,SC,user,512,"CN=Jennifer Martinez,CN=Users,DC=ABSCorp,DC=com",JMartinez,Jennifer Martinez,Jennifer Martinez,JMartinez@abscorp.com,JMartinez@abscorp.com
Lawrence,May,Management,Greenville,SC,user,512,"CN=Lawrence May,CN=Users,DC=ABSCorp,DC=com",LMay,Lawrence May,Lawrence May,LMay@abscorp.com,LMay@abscorp.com
Linda,Maynard,Projects,Greenville,SC,user,512,"CN=Linda Maynard,CN=Users,DC=ABSCorp,DC=com",LMaynard,Linda Maynard,Linda Maynard,LMaynard@abscorp.com,LMaynard@abscorp.com
Mary,Maynard,Projects,Greenville,SC,user,512,"CN=Mary Maynard,CN=Users,DC=ABSCorp,DC=com",MMaynard,Mary Maynard,Mary Maynard,MMaynard@abscorp.com,MMaynard@abscorp.com
Glen,Mccarthy,IT,Greenville,SC,user,512,"CN=Glen Mccarthy,CN=Users,DC=ABSCorp,DC=com",GMccarthy,Glen Mccarthy,Glen Mccarthy,GMccarthy@abscorp.com,GMccarthy@abscorp.com
John,Mcdowell,Sales,Greenville,SC,user,512,"CN=John Mcdowell,CN=Users,DC=ABSCorp,DC=com",JMcdowell,John Mcdowell,John Mcdowell,JMcdowell@abscorp.com,JMcdowell@abscorp.com
Brenda,Mcintosh,Projects,Greenville,SC,user,512,"CN=Brenda Mcintosh,CN=Users,DC=ABSCorp,DC=com",BMcintosh,Brenda Mcintosh,Brenda Mcintosh,BMcintosh@abscorp.com,BMcintosh@abscorp.com
Patricia,Medina,Projects,Greenville,SC,user,512,"CN=Patricia Medina,CN=Users,DC=ABSCorp,DC=com",PMedina,Patricia Medina,Patricia Medina,PMedina@abscorp.com,PMedina@abscorp.com
Leonard,Miller,Sales,Greenville,SC,user,512,"CN=Leonard Miller,CN=Users,DC=ABSCorp,DC=com",LMiller,Leonard Miller,Leonard Miller,LMiller@abscorp.com,LMiller@abscorp.com
Joe,Montgomery,IT,Greenville,SC,user,512,"CN=Joe Montgomery,CN=Users,DC=ABSCorp,DC=com",JMontgomery,Joe Montgomery,Joe Montgomery,JMontgomery@abscorp.com,JMontgomery@abscorp.com
Pamela,Moore,Projects,Greenville,SC,user,512,"CN=Pamela Moore,CN=Users,DC=ABSCorp,DC=com",PMoore,Pamela Moore,Pamela Moore,PMoore@abscorp.com,PMoore@abscorp.com
Scott,Moreno,IT,Greenville,SC,user,512,"CN=Scott Moreno,CN=Users,DC=ABSCorp,DC=com",SMoreno,Scott Moreno,Scott Moreno,SMoreno@abscorp.com,SMoreno@abscorp.com
Mary,Morris,Projects,Greenville,SC,user,512,"CN=Mary Morris,CN=Users,DC=ABSCorp,DC=com",MMorris,Mary Morris,Mary Morris,MMorris@abscorp.com,MMorris@abscorp.com
Kathleen,Morse,Projects,Greenville,SC,user,512,"CN=Kathleen Morse,CN=Users,DC=ABSCorp,DC=com",KMorse,Kathleen Morse,Kathleen Morse,KMorse@abscorp.com,KMorse@abscorp.com
Mary,Morton,IT,Greenville,SC,user,512,"CN=Mary Morton,CN=Users,DC=ABSCorp,DC=com",MMorton,Mary Morton,Mary Morton,MMorton@abscorp.com,MMorton@abscorp.com
Lucille,Munoz,Sales,Greenville,SC,user,512,"CN=Lucille Munoz,CN=Users,DC=ABSCorp,DC=com",LMunoz,Lucille Munoz,Lucille Munoz,LMunoz@abscorp.com,LMunoz@abscorp.com
Nicholas,Murray,Projects,Greenville,SC,user,512,"CN=Nicholas Murray,CN=Users,DC=ABSCorp,DC=com",NMurray,Nicholas Murray,Nicholas Murray,NMurray@abscorp.com,NMurray@abscorp.com
